"region","age","2016"
"0114 Upplands Väsby","18-29 years",400.5
"0114 Upplands Väsby","30-49 years",567.1
"0114 Upplands Väsby","50-64 years",570.1
"0115 Vallentuna","18-29 years",458.5
"0115 Vallentuna","30-49 years",678.6
"0115 Vallentuna","50-64 years",687.2
"0117 Österåker","18-29 years",419.7
"0117 Österåker","30-49 years",685.6
"0117 Österåker","50-64 years",771.9
"0120 Värmdö","18-29 years",409.3
"0120 Värmdö","30-49 years",705.4
"0120 Värmdö","50-64 years",707.4
"0123 Järfälla","18-29 years",412.8
"0123 Järfälla","30-49 years",582.8
"0123 Järfälla","50-64 years",598.1
"0125 Ekerö","18-29 years",547.5
"0125 Ekerö","30-49 years",790.5
"0125 Ekerö","50-64 years",818.9
"0126 Huddinge","18-29 years",371.8
"0126 Huddinge","30-49 years",608.3
"0126 Huddinge","50-64 years",598.1
"0127 Botkyrka","18-29 years",422.8
"0127 Botkyrka","30-49 years",520.0
"0127 Botkyrka","50-64 years",510.2
"0128 Salem","18-29 years",457.3
"0128 Salem","30-49 years",643.6
"0128 Salem","50-64 years",650.5
"0136 Haninge","18-29 years",386.4
"0136 Haninge","30-49 years",557.7
"0136 Haninge","50-64 years",564.9
"0138 Tyresö","18-29 years",408.9
"0138 Tyresö","30-49 years",686.9
"0138 Tyresö","50-64 years",661.5
"0139 Upplands-Bro","18-29 years",399.1
"0139 Upplands-Bro","30-49 years",563.8
"0139 Upplands-Bro","50-64 years",562.9
"0140 Nykvarn","18-29 years",450.1
"0140 Nykvarn","30-49 years",630.6
"0140 Nykvarn","50-64 years",670.1
"0160 Täby","18-29 years",410.1
"0160 Täby","30-49 years",824.0
"0160 Täby","50-64 years",916.4
"0162 Danderyd","18-29 years",474.0
"0162 Danderyd","30-49 years",1548.6
"0162 Danderyd","50-64 years",1583.9
"0163 Sollentuna","18-29 years",393.8
"0163 Sollentuna","30-49 years",723.4
"0163 Sollentuna","50-64 years",780.0
"0180 Stockholm","18-29 years",376.4
"0180 Stockholm","30-49 years",658.0
"0180 Stockholm","50-64 years",686.3
"0181 Södertälje","18-29 years",376.9
"0181 Södertälje","30-49 years",481.2
"0181 Södertälje","50-64 years",489.0
"0182 Nacka","18-29 years",393.0
"0182 Nacka","30-49 years",813.1
"0182 Nacka","50-64 years",841.1
"0183 Sundbyberg","18-29 years",396.8
"0183 Sundbyberg","30-49 years",561.9
"0183 Sundbyberg","50-64 years",571.6
"0184 Solna","18-29 years",381.1
"0184 Solna","30-49 years",610.3
"0184 Solna","50-64 years",596.3
"0186 Lidingö","18-29 years",362.7
"0186 Lidingö","30-49 years",1128.0
"0186 Lidingö","50-64 years",1019.1
"0187 Vaxholm","18-29 years",415.2
"0187 Vaxholm","30-49 years",773.9
"0187 Vaxholm","50-64 years",828.7
"0188 Norrtälje","18-29 years",364.6
"0188 Norrtälje","30-49 years",527.4
"0188 Norrtälje","50-64 years",539.3
"0191 Sigtuna","18-29 years",391.5
"0191 Sigtuna","30-49 years",541.6
"0191 Sigtuna","50-64 years",576.3
"0192 Nynäshamn","18-29 years",382.3
"0192 Nynäshamn","30-49 years",533.7
"0192 Nynäshamn","50-64 years",566.5
"0305 Håbo","18-29 years",414.5
"0305 Håbo","30-49 years",624.8
"0305 Håbo","50-64 years",622.7
"0319 Älvkarleby","18-29 years",302.4
"0319 Älvkarleby","30-49 years",460.9
"0319 Älvkarleby","50-64 years",463.3
"0330 Knivsta","18-29 years",391.8
"0330 Knivsta","30-49 years",648.5
"0330 Knivsta","50-64 years",675.8
"0331 Heby","18-29 years",367.7
"0331 Heby","30-49 years",492.0
"0331 Heby","50-64 years",491.8
"0360 Tierp","18-29 years",329.5
"0360 Tierp","30-49 years",472.1
"0360 Tierp","50-64 years",463.7
"0380 Uppsala","18-29 years",279.3
"0380 Uppsala","30-49 years",540.2
"0380 Uppsala","50-64 years",612.5
"0381 Enköping","18-29 years",359.8
"0381 Enköping","30-49 years",544.1
"0381 Enköping","50-64 years",552.0
"0382 Östhammar","18-29 years",357.0
"0382 Östhammar","30-49 years",503.9
"0382 Östhammar","50-64 years",500.4
